Event/Country Name,Links
Rising Pune Supergiants,https://cricsheet.org/downloads/rising_pune_supergiants_json.zip
Royal Challengers Bangalore,https://cricsheet.org/downloads/royal_challengers_bangalore_json.zip
Royal Challengers Bengaluru,https://cricsheet.org/downloads/royal_challengers_bengaluru_json.zip
San Francisco Unicorns,https://cricsheet.org/downloads/san_francisco_unicorns_json.zip
Sapphires,https://cricsheet.org/downloads/sapphires_json.zip
Saurashtra,https://cricsheet.org/downloads/saurashtra_json.zip
Seattle Orcas,https://cricsheet.org/downloads/seattle_orcas_json.zip
Services,https://cricsheet.org/downloads/services_json.zip
Sharjah Warriors,https://cricsheet.org/downloads/sharjah_warriors_json.zip
Sikkim,https://cricsheet.org/downloads/sikkim_json.zip
Somerset,https://cricsheet.org/downloads/somerset_json.zip
South Australia,https://cricsheet.org/downloads/south_australia_json.zip
South East Stars,https://cricsheet.org/downloads/south_east_stars_json.zip
Southern Brave,https://cricsheet.org/downloads/southern_brave_json.zip
Southern Vipers,https://cricsheet.org/downloads/southern_vipers_json.zip
Spirit,https://cricsheet.org/downloads/spirit_json.zip
St Kitts and Nevis Patriots,https://cricsheet.org/downloads/st_kitts_and_nevis_patriots_json.zip
St Lucia Kings,https://cricsheet.org/downloads/st_lucia_kings_json.zip
St Lucia Stars,https://cricsheet.org/downloads/st_lucia_stars_json.zip
St Lucia Zouks,https://cricsheet.org/downloads/st_lucia_zouks_json.zip
Sunrisers,https://cricsheet.org/downloads/sunrisers_json.zip
Sunrisers Eastern Cape,https://cricsheet.org/downloads/sunrisers_eastern_cape_json.zip
Sunrisers Hyderabad,https://cricsheet.org/downloads/sunrisers_hyderabad_json.zip
Supernovas,https://cricsheet.org/downloads/supernovas_json.zip
Surrey,https://cricsheet.org/downloads/surrey_json.zip
Surrey Stars,https://cricsheet.org/downloads/surrey_stars_json.zip
Sussex,https://cricsheet.org/downloads/sussex_json.zip
Sydney Sixers,https://cricsheet.org/downloads/sydney_sixers_json.zip
Sydney Thunder,https://cricsheet.org/downloads/sydney_thunder_json.zip
Sylhet Royals,https://cricsheet.org/downloads/sylhet_royals_json.zip
Sylhet Sixers,https://cricsheet.org/downloads/sylhet_sixers_json.zip
Sylhet Strikers,https://cricsheet.org/downloads/sylhet_strikers_json.zip
Sylhet Sunrisers,https://cricsheet.org/downloads/sylhet_sunrisers_json.zip
Sylhet Super Stars,https://cricsheet.org/downloads/sylhet_super_stars_json.zip
Sylhet Thunder,https://cricsheet.org/downloads/sylhet_thunder_json.zip
