Event/Country Name,Links
Tamil Nadu,https://cricsheet.org/downloads/tamil_nadu_json.zip
Tasmania,https://cricsheet.org/downloads/tasmania_json.zip
Texas Super Kings,https://cricsheet.org/downloads/texas_super_kings_json.zip
The Blaze,https://cricsheet.org/downloads/the_blaze_json.zip
Thunder,https://cricsheet.org/downloads/thunder_json.zip
Titans,https://cricsheet.org/downloads/titans_json.zip
Tornadoes,https://cricsheet.org/downloads/tornadoes_json.zip
Trailblazers,https://cricsheet.org/downloads/trailblazers_json.zip
Trent Rockets,https://cricsheet.org/downloads/trent_rockets_json.zip
Trinbago Knight Riders,https://cricsheet.org/downloads/trinbago_knight_riders_json.zip
Trinidad & Tobago Red Steel,https://cricsheet.org/downloads/trinidad_&_tobago_red_steel_json.zip
Trinidad and Tobago,https://cricsheet.org/downloads/trinidad_and_tobago_json.zip
Tripura,https://cricsheet.org/downloads/tripura_json.zip
Tshwane Spartans,https://cricsheet.org/downloads/tshwane_spartans_json.zip
UP Warriorz,https://cricsheet.org/downloads/up_warriorz_json.zip
Uttar Pradesh,https://cricsheet.org/downloads/uttar_pradesh_json.zip
Uttarakhand,https://cricsheet.org/downloads/uttarakhand_json.zip
Velocity,https://cricsheet.org/downloads/velocity_json.zip
Victoria,https://cricsheet.org/downloads/victoria_json.zip
Vidarbha,https://cricsheet.org/downloads/vidarbha_json.zip
Warriors,https://cricsheet.org/downloads/warriors_json.zip
Warriors (FairBreak),https://cricsheet.org/downloads/warriors_%28fairbreak%29_json.zip
Warwickshire,https://cricsheet.org/downloads/warwickshire_json.zip
Washington Freedom,https://cricsheet.org/downloads/washington_freedom_json.zip
Wellington,https://cricsheet.org/downloads/wellington_json.zip
Wellington Firebirds,https://cricsheet.org/downloads/wellington_firebirds_json.zip
Welsh Fire,https://cricsheet.org/downloads/welsh_fire_json.zip
Western Australia,https://cricsheet.org/downloads/western_australia_json.zip
Western Province,https://cricsheet.org/downloads/western_province_json.zip
Western Storm,https://cricsheet.org/downloads/western_storm_json.zip
Windward Islands,https://cricsheet.org/downloads/windward_islands_json.zip
Worcestershire,https://cricsheet.org/downloads/worcestershire_json.zip
Yorkshire,https://cricsheet.org/downloads/yorkshire_json.zip
Yorkshire Diamonds,https://cricsheet.org/downloads/yorkshire_diamonds_json.zip
Africa XI,https://cricsheet.org/downloads/africa_xi_json.zip
Asia XI,https://cricsheet.org/downloads/asia_xi_json.zip
ICC World XI,https://cricsheet.org/downloads/icc_world_xi_json.zip
