Event/Country Name,Links
West Indies,https://cricsheet.org/downloads/west_indies_json.zip
Zambia,https://cricsheet.org/downloads/zambia_json.zip
Zimbabwe,https://cricsheet.org/downloads/zimbabwe_json.zip
Abu Dhabi Knight Riders,https://cricsheet.org/downloads/abu_dhabi_knight_riders_json.zip
Adelaide Strikers,https://cricsheet.org/downloads/adelaide_strikers_json.zip
Andhra,https://cricsheet.org/downloads/andhra_json.zip
Antigua Hawksbills,https://cricsheet.org/downloads/antigua_hawksbills_json.zip
Antigua and Barbuda Falcons,https://cricsheet.org/downloads/antigua_and_barbuda_falcons_json.zip
Arunachal Pradesh,https://cricsheet.org/downloads/arunachal_pradesh_json.zip
Assam,https://cricsheet.org/downloads/assam_json.zip
Auckland,https://cricsheet.org/downloads/auckland_json.zip
Auckland Aces,https://cricsheet.org/downloads/auckland_aces_json.zip
B-Love Kandy,https://cricsheet.org/downloads/b-love_kandy_json.zip
Barbados,https://cricsheet.org/downloads/barbados_json.zip
Barbados Royals,https://cricsheet.org/downloads/barbados_royals_json.zip
Barbados Tridents,https://cricsheet.org/downloads/barbados_tridents_json.zip
Barisal Bulls,https://cricsheet.org/downloads/barisal_bulls_json.zip
Barisal Burners,https://cricsheet.org/downloads/barisal_burners_json.zip
Barmy Army,https://cricsheet.org/downloads/barmy_army_json.zip
Baroda,https://cricsheet.org/downloads/baroda_json.zip
Bengal,https://cricsheet.org/downloads/bengal_json.zip
Bihar,https://cricsheet.org/downloads/bihar_json.zip
Birmingham Bears,https://cricsheet.org/downloads/birmingham_bears_json.zip
Birmingham Phoenix,https://cricsheet.org/downloads/birmingham_phoenix_json.zip
Boland,https://cricsheet.org/downloads/boland_json.zip
Brisbane Heat,https://cricsheet.org/downloads/brisbane_heat_json.zip
Canterbury,https://cricsheet.org/downloads/canterbury_json.zip
Cape Cobras,https://cricsheet.org/downloads/cape_cobras_json.zip
Cape Town Blitz,https://cricsheet.org/downloads/cape_town_blitz_json.zip
Central Districts,https://cricsheet.org/downloads/central_districts_json.zip
Central Sparks,https://cricsheet.org/downloads/central_sparks_json.zip
Central Stags,https://cricsheet.org/downloads/central_stags_json.zip
Chandigarh,https://cricsheet.org/downloads/chandigarh_json.zip
Chattogram Challengers,https://cricsheet.org/downloads/chattogram_challengers_json.zip
Chennai Super Kings,https://cricsheet.org/downloads/chennai_super_kings_json.zip
