Event/Country Name,Links
Nagaland,https://cricsheet.org/downloads/nagaland_json.zip
Nelson Mandela Bay Giants,https://cricsheet.org/downloads/nelson_mandela_bay_giants_json.zip
New South Wales,https://cricsheet.org/downloads/new_south_wales_json.zip
North West,https://cricsheet.org/downloads/north_west_json.zip
North West Warriors,https://cricsheet.org/downloads/north_west_warriors_json.zip
North-West Warriors,https://cricsheet.org/downloads/north-west_warriors_json.zip
Northamptonshire,https://cricsheet.org/downloads/northamptonshire_json.zip
Northern Diamonds,https://cricsheet.org/downloads/northern_diamonds_json.zip
Northern Districts,https://cricsheet.org/downloads/northern_districts_json.zip
Northern Knights,https://cricsheet.org/downloads/northern_knights_json.zip
Northern Superchargers,https://cricsheet.org/downloads/northern_superchargers_json.zip
Nottinghamshire,https://cricsheet.org/downloads/nottinghamshire_json.zip
Odisha,https://cricsheet.org/downloads/odisha_json.zip
Otago,https://cricsheet.org/downloads/otago_json.zip
Otago Volts,https://cricsheet.org/downloads/otago_volts_json.zip
Oval Invincibles,https://cricsheet.org/downloads/oval_invincibles_json.zip
Paarl Rocks,https://cricsheet.org/downloads/paarl_rocks_json.zip
Paarl Royals,https://cricsheet.org/downloads/paarl_royals_json.zip
Perth Scorchers,https://cricsheet.org/downloads/perth_scorchers_json.zip
Peshawar Zalmi,https://cricsheet.org/downloads/peshawar_zalmi_json.zip
Pretoria Capitals,https://cricsheet.org/downloads/pretoria_capitals_json.zip
Puducherry,https://cricsheet.org/downloads/puducherry_json.zip
Pune Warriors,https://cricsheet.org/downloads/pune_warriors_json.zip
Punjab,https://cricsheet.org/downloads/punjab_json.zip
Punjab Kings,https://cricsheet.org/downloads/punjab_kings_json.zip
Queensland,https://cricsheet.org/downloads/queensland_json.zip
Quetta Gladiators,https://cricsheet.org/downloads/quetta_gladiators_json.zip
Railways,https://cricsheet.org/downloads/railways_json.zip
Rajasthan,https://cricsheet.org/downloads/rajasthan_json.zip
Rajasthan Royals,https://cricsheet.org/downloads/rajasthan_royals_json.zip
Rajshahi Kings,https://cricsheet.org/downloads/rajshahi_kings_json.zip
Rajshahi Royals,https://cricsheet.org/downloads/rajshahi_royals_json.zip
Rangpur Rangers,https://cricsheet.org/downloads/rangpur_rangers_json.zip
Rangpur Riders,https://cricsheet.org/downloads/rangpur_riders_json.zip
Rising Pune Supergiant,https://cricsheet.org/downloads/rising_pune_supergiant_json.zip
