Event/Country Name,Links
Chhattisgarh,https://cricsheet.org/downloads/chhattisgarh_json.zip
Chittagong Kings,https://cricsheet.org/downloads/chittagong_kings_json.zip
Chittagong Vikings,https://cricsheet.org/downloads/chittagong_vikings_json.zip
Colombo Kings,https://cricsheet.org/downloads/colombo_kings_json.zip
Colombo Stars,https://cricsheet.org/downloads/colombo_stars_json.zip
Colombo Strikers,https://cricsheet.org/downloads/colombo_strikers_json.zip
Comilla Victorians,https://cricsheet.org/downloads/comilla_victorians_json.zip
Cumilla Warriors,https://cricsheet.org/downloads/cumilla_warriors_json.zip
Dambulla Aura,https://cricsheet.org/downloads/dambulla_aura_json.zip
Dambulla Giants,https://cricsheet.org/downloads/dambulla_giants_json.zip
Dambulla Sixers,https://cricsheet.org/downloads/dambulla_sixers_json.zip
Dambulla Viiking,https://cricsheet.org/downloads/dambulla_viiking_json.zip
Deccan Chargers,https://cricsheet.org/downloads/deccan_chargers_json.zip
Delhi,https://cricsheet.org/downloads/delhi_json.zip
Delhi Capitals,https://cricsheet.org/downloads/delhi_capitals_json.zip
Delhi Daredevils,https://cricsheet.org/downloads/delhi_daredevils_json.zip
Derbyshire,https://cricsheet.org/downloads/derbyshire_json.zip
Desert Vipers,https://cricsheet.org/downloads/desert_vipers_json.zip
Dhaka Dominators,https://cricsheet.org/downloads/dhaka_dominators_json.zip
Dhaka Dynamites,https://cricsheet.org/downloads/dhaka_dynamites_json.zip
Dhaka Gladiators,https://cricsheet.org/downloads/dhaka_gladiators_json.zip
Dhaka Platoon,https://cricsheet.org/downloads/dhaka_platoon_json.zip
Dolphins,https://cricsheet.org/downloads/dolphins_json.zip
Dubai Capitals,https://cricsheet.org/downloads/dubai_capitals_json.zip
Durban Heat,https://cricsheet.org/downloads/durban_heat_json.zip
Durban's Super Giants,https://cricsheet.org/downloads/durban%27s_super_giants_json.zip
Durdanto Dhaka,https://cricsheet.org/downloads/durdanto_dhaka_json.zip
Durham,https://cricsheet.org/downloads/durham_json.zip
Duronto Rajshahi,https://cricsheet.org/downloads/duronto_rajshahi_json.zip
Essex,https://cricsheet.org/downloads/essex_json.zip
Falcons,https://cricsheet.org/downloads/falcons_json.zip
Fortune Barishal,https://cricsheet.org/downloads/fortune_barishal_json.zip
Galle Gladiators,https://cricsheet.org/downloads/galle_gladiators_json.zip
Galle Marvels,https://cricsheet.org/downloads/galle_marvels_json.zip
Galle Titans,https://cricsheet.org/downloads/galle_titans_json.zip
