Event/Country Name,Links
Khulna Titans,https://cricsheet.org/downloads/khulna_titans_json.zip
Kings XI Punjab,https://cricsheet.org/downloads/kings_xi_punjab_json.zip
Knights,https://cricsheet.org/downloads/knights_json.zip
Kochi Tuskers Kerala,https://cricsheet.org/downloads/kochi_tuskers_kerala_json.zip
Kolkata Knight Riders,https://cricsheet.org/downloads/kolkata_knight_riders_json.zip
KwaZulu-Natal Inland,https://cricsheet.org/downloads/kwazulu-natal_inland_json.zip
Lahore Qalandars,https://cricsheet.org/downloads/lahore_qalandars_json.zip
Lancashire,https://cricsheet.org/downloads/lancashire_json.zip
Lancashire Thunder,https://cricsheet.org/downloads/lancashire_thunder_json.zip
Leeward Islands,https://cricsheet.org/downloads/leeward_islands_json.zip
Leicestershire,https://cricsheet.org/downloads/leicestershire_json.zip
Leinster Lightning,https://cricsheet.org/downloads/leinster_lightning_json.zip
Lightning,https://cricsheet.org/downloads/lightning_json.zip
Lions,https://cricsheet.org/downloads/lions_json.zip
London Spirit,https://cricsheet.org/downloads/london_spirit_json.zip
Los Angeles Knight Riders,https://cricsheet.org/downloads/los_angeles_knight_riders_json.zip
Loughborough Lightning,https://cricsheet.org/downloads/loughborough_lightning_json.zip
Lucknow Super Giants,https://cricsheet.org/downloads/lucknow_super_giants_json.zip
MI Cape Town,https://cricsheet.org/downloads/mi_cape_town_json.zip
MI Emirates,https://cricsheet.org/downloads/mi_emirates_json.zip
MI New York,https://cricsheet.org/downloads/mi_new_york_json.zip
Madhya Pradesh,https://cricsheet.org/downloads/madhya_pradesh_json.zip
Maharashtra,https://cricsheet.org/downloads/maharashtra_json.zip
Manchester Originals,https://cricsheet.org/downloads/manchester_originals_json.zip
Manipur,https://cricsheet.org/downloads/manipur_json.zip
Meghalaya,https://cricsheet.org/downloads/meghalaya_json.zip
Melbourne Renegades,https://cricsheet.org/downloads/melbourne_renegades_json.zip
Melbourne Stars,https://cricsheet.org/downloads/melbourne_stars_json.zip
Middlesex,https://cricsheet.org/downloads/middlesex_json.zip
Minister Group Dhaka,https://cricsheet.org/downloads/minister_group_dhaka_json.zip
Mizoram,https://cricsheet.org/downloads/mizoram_json.zip
Multan Sultans,https://cricsheet.org/downloads/multan_sultans_json.zip
Mumbai,https://cricsheet.org/downloads/mumbai_json.zip
Mumbai Indians,https://cricsheet.org/downloads/mumbai_indians_json.zip
Munster Reds,https://cricsheet.org/downloads/munster_reds_json.zip
