Event/Country Name,Links
Added in the previous 2 days,https://cricsheet.org/downloads/recently_added_2_json.zip
Added in the previous 7 days,https://cricsheet.org/downloads/recently_added_7_json.zip
Added in the previous 30 days,https://cricsheet.org/downloads/recently_added_30_json.zip
Played in the previous 2 days,https://cricsheet.org/downloads/recently_played_2_json.zip
Played in the previous 7 days,https://cricsheet.org/downloads/recently_played_7_json.zip
Played in the previous 30 days,https://cricsheet.org/downloads/recently_played_30_json.zip
All matches,https://cricsheet.org/downloads/all_json.zip
Test matches,https://cricsheet.org/downloads/tests_json.zip
Multi-day matches,https://cricsheet.org/downloads/mdms_json.zip
One-day internationals,https://cricsheet.org/downloads/odis_json.zip
One-day matches,https://cricsheet.org/downloads/odms_json.zip
T20 internationals,https://cricsheet.org/downloads/t20s_json.zip
Non-official T20 internationals,https://cricsheet.org/downloads/it20s_json.zip
Big Bash League,https://cricsheet.org/downloads/bbl_json.zip
T20 Blaze,https://cricsheet.org/downloads/blz_json.zip
Bangladesh Premier League,https://cricsheet.org/downloads/bpl_json.zip
Bob Willis Trophy,https://cricsheet.org/downloads/bwt_json.zip
County Championship,https://cricsheet.org/downloads/cch_json.zip
Charlotte Edwards Cup,https://cricsheet.org/downloads/cec_json.zip
Caribbean Premier League,https://cricsheet.org/downloads/cpl_json.zip
CSA T20 Challenge,https://cricsheet.org/downloads/ctc_json.zip
FairBreak Invitational Tournament,https://cricsheet.org/downloads/frb_json.zip
The Hundred,https://cricsheet.org/downloads/hnd_json.zip
International League T20,https://cricsheet.org/downloads/ilt_json.zip
Indian Premier League,https://cricsheet.org/downloads/ipl_json.zip
Cricket Ireland Inter-Provincial Limited Over Cup,https://cricsheet.org/downloads/ipo_json.zip
Cricket Ireland Inter-Provincial Twenty20 Trophy,https://cricsheet.org/downloads/ipt_json.zip
Lanka Premier League,https://cricsheet.org/downloads/lpl_json.zip
Major League Cricket,https://cricsheet.org/downloads/mlc_json.zip
Mzansi Super League,https://cricsheet.org/downloads/msl_json.zip
T20 Blast,https://cricsheet.org/downloads/ntb_json.zip
Plunket Shield,https://cricsheet.org/downloads/pks_json.zip
Pakistan Super League,https://cricsheet.org/downloads/psl_json.zip
Rachael Heyhoe Flint Trophy,https://cricsheet.org/downloads/rhf_json.zip
One-Day Cup,https://cricsheet.org/downloads/rlc_json.zip
