Event/Country Name,Links
Glamorgan,https://cricsheet.org/downloads/glamorgan_json.zip
Gloucestershire,https://cricsheet.org/downloads/gloucestershire_json.zip
Goa,https://cricsheet.org/downloads/goa_json.zip
Gujarat,https://cricsheet.org/downloads/gujarat_json.zip
Gujarat Giants,https://cricsheet.org/downloads/gujarat_giants_json.zip
Gujarat Lions,https://cricsheet.org/downloads/gujarat_lions_json.zip
Gujarat Titans,https://cricsheet.org/downloads/gujarat_titans_json.zip
Gulf Giants,https://cricsheet.org/downloads/gulf_giants_json.zip
Guyana,https://cricsheet.org/downloads/guyana_json.zip
Guyana Amazon Warriors,https://cricsheet.org/downloads/guyana_amazon_warriors_json.zip
Hampshire,https://cricsheet.org/downloads/hampshire_json.zip
Haryana,https://cricsheet.org/downloads/haryana_json.zip
Himachal,https://cricsheet.org/downloads/himachal_json.zip
Himachal Pradesh,https://cricsheet.org/downloads/himachal_pradesh_json.zip
Hobart Hurricanes,https://cricsheet.org/downloads/hobart_hurricanes_json.zip
Hyderabad (India),https://cricsheet.org/downloads/hyderabad_%28india%29_json.zip
Impi,https://cricsheet.org/downloads/impi_json.zip
Islamabad United,https://cricsheet.org/downloads/islamabad_united_json.zip
Jaffna Kings,https://cricsheet.org/downloads/jaffna_kings_json.zip
Jaffna Stallions,https://cricsheet.org/downloads/jaffna_stallions_json.zip
Jamaica,https://cricsheet.org/downloads/jamaica_json.zip
Jamaica Tallawahs,https://cricsheet.org/downloads/jamaica_tallawahs_json.zip
Jammu & Kashmir,https://cricsheet.org/downloads/jammu_&_kashmir_json.zip
Jharkhand,https://cricsheet.org/downloads/jharkhand_json.zip
Joburg Super Kings,https://cricsheet.org/downloads/joburg_super_kings_json.zip
Jozi Stars,https://cricsheet.org/downloads/jozi_stars_json.zip
Kandy Falcons,https://cricsheet.org/downloads/kandy_falcons_json.zip
Kandy Tuskers,https://cricsheet.org/downloads/kandy_tuskers_json.zip
Kandy Warriors,https://cricsheet.org/downloads/kandy_warriors_json.zip
Karachi Kings,https://cricsheet.org/downloads/karachi_kings_json.zip
Karnataka,https://cricsheet.org/downloads/karnataka_json.zip
Kent,https://cricsheet.org/downloads/kent_json.zip
Kerala,https://cricsheet.org/downloads/kerala_json.zip
Khulna Royal Bengals,https://cricsheet.org/downloads/khulna_royal_bengals_json.zip
Khulna Tigers,https://cricsheet.org/downloads/khulna_tigers_json.zip
